=== SHEET: Filament Inventory dims: A1:S242 ===
S No.	Vendor	Brand	F.Type	Finish	Color	Size	Qty	Position	Box Name	Status	Price (₹)	Name	Undefined					
43	Numakers	Numakers	PLA Pro	Normal	Ivory	1	0.15	Seal		Packed	607	Akans						
44	Numakers	Numakers	PLA Pro	Normal	Light Gray	1	0.9	OUT		Packed	607	Akans						
45	Numakers	Numakers	PLA+	Normal	Lagoon Blue	1	1	Seal		Packed	649	Akans						
46	Numakers	Numakers	PLA+	Normal	Thanos Purple	1	1	Seal		Packed	649	Akans						
47	Numakers	Numakers	PLA+	Normal	Midnight Gray	1	1	Seal		Packed	649	Akans						
48	Numakers	Numakers	PLA+	Normal	Chocolate Brown	1	0.2	OUT		Opened	649	Akans						
49	Numakers	Numakers	PLA+	Normal	Lavender Violet	1	0.8	Seal		Packed	649	Akans						
50	Numakers	Numakers	PLA+	Normal	Mauve Purple	1	1	Seal		Packed	649	Akans						
51	Numakers	Numakers	PLA+	Normal	Military Khaki	1	1	Seal		Packed	649	Akans						
52	Numakers	Numakers	PLA+	Normal	Teal Blue	1	1	Seal		Packed	649	Akans						
53	Numakers	Numakers	PLA+	Normal	Nuclear Red	1	1	Seal		Packed	649	Akans						
54	Numakers	Numakers	HS-PETG	Translucent	Arctic	1	0.8	Seal		Packed	648	Akans						
55	Numakers	Numakers	HS-PETG	Translucent	Ice Blue	1	1	Seal		Packed	648	Akans						
56	Numakers	Numakers	ASA	Normal	Pure White	1	1	Seal		Packed	766	Akans						
57	Numakers	Numakers	PLA	Silk	Obsidian Night	1	1	Seal		Packed	825	Akans						
58	Numakers	Numakers	Tri-Color	Silk	Green-Magenta-Blue	1	1	Seal		Packed	825	Akans						
59	Numakers	Numakers	ABS	Normal	Pitch Black	1	1	Seal		Packed	650	Akans						
60	Numakers	Numakers	PLA	Glow	Aqua Blue	1	1	Seal		Packed	1033	Akans						
61	Numakers	Numakers	PLA+	Normal	Marble	1	0.9	Seal		Packed	707	Akans						
62		JAMGHE	PLA	Natural	Wood		1	Seal		Packed	1400	Z3D						
63		Numakers	PLA+	Normal	Ivory	1	1	Seal		Packed	649	Akans						
64		Numakers	PLA+	Normal	Ivory	1	0.15	OUT		Opened	649	Akans						
65		Numakers	PLA+	Normal	Ivory	1	0.15	OUT		Opened	649	Akans						
66		Elegoo	PLA+	Normal	Sky Blue	1	0.7	OUT		Opened	649	Shru						
67		Numakers	PLA	Matte	White	1	0.9	OUT		Opened	600	Akans						
68		Elegoo	PLA+	Normal	Brown	1	1	Seal		Packed	850	Shru						
69		Numakers	PLA PRO+	Normal	Light Grey	1	0.9	OUT		Opened	650	Akans						
70		WOL3D	PLA PRO+	Normal	Tiger Orange	1	1	Seal		Packed	600	Shru						
71		WOL3D	PLA PRO+	Normal	Ivory	1	1	Seal		Packed	600	Shru						
72		Numakers	PLA	DUEL COLOR	ORANGE-RED	1	1	Seal		Packed	800	Akans						
73		Numakers	PLA+	Normal	Cool White	1	1	Seal		Packed	649	Akans						
74		Numakers	PLA 	Mettalic	Burnt Copper	1	1	Seal		Packed	800	Akans						
75		Numakers	PLA+	Normal	Pure White	1	1	Seal		Packed	649	Akans						
76		Numakers	PLA	Matte	Olive Green	1	1	Seal		Packed	700	Akans						
77		Numakers	PLA	Matte	Mint Green	1	1	Seal		Packed	700	Akans						
78		Numakers	PLA	Silk	Yellow	1	1	Seal		Packed	700	Akans	New color					
79		WOL3D	PLA PRO+	Normal	Daisy	1	1	Seal		Packed	600	Shru						
80		Numakers	PLA+	Normal	Simply Silver	1	1	Seal		Packed	700	Akans						
81						1												
82						1												
83						1												
84						1												
85						1												
86						1												
87						1												
88						1												
89						1												
90						1												
91						1												
92						1												
93						1												
94						1												
95						1												
96						1												
97						1												
98						1												
99						1												
100						1												
101						1												
102						1												
103						1												
104						1												
105						1												
106						1												
107						1												
108						1												
109						1												
110						1												
111						1												
112						1												
113						1												
114						1												
115						1												
116						1												
117						1												
118						1												
119						1												
120						1												
121						1												
122						1												
123						1												
124						1												
125						1												
126						1												
127						1												
128						1												
129						1												
130						1												
131						1												
132						1												
133						1												
134						1												
135						1												
136						1												
137						1												
138						1												
139						1												
140						1												
141						1												
142						1												
143						1												
144						1												
145						1												
146						1												
147						1												
148						1												
149						1												
150						1												
151						1												
152						1												
153						1												
154						1												
155						1												
156						1												
157						1												
158						1												
159						1												
160						1												
161						1												
162						1												
163						1												
164						1												
165						1												
166						1												
167						1												
168						1												
169						1												
170						1												
171						1												
172						1												
173						1												
174						1												
175						1												
176						1												
177						1												
178						1												
179						1												
180						1												
181						1												
182						1												
183						1												
184						1												
185						1												
186						1												
187						1												
188						1												
189						1												
190						1												
191						1												
192						1												
193						1												
194						1												
195						1												
196						1												
197						1												
198						1												
199						1												
200						1												
201						1												
202						1												
203						1												
204						1												
205						1												
206						1												
207						1												
208						1												
209						1												
210						1												
211						1												
212						1												
213						1												
214						1												
215						1												
216						1												
217						1												
218						1												
219						1												
220						1												
221						1												
222						1												
223						1												
224						1												
225						1												
226						1												
227						1												
228						1												
229						1												
230						1												
231						1												
232						1												
233						1												
234						1												
235						1												
236						1												
237						1												
238						1												
239						1												
240						1												
